State - Place,Year,Population,LikithVinayaka - Rank
 NY - New York City,1990,7322564,1
 CA - Los Angeles,1990,3485398,2
 IL - Chicago,1990,2783726,3
 TX - Houston,1990,1630553,4
 PA - Philadelphia,1990,1585577,5
 CA - San Diego,1990,1110549,6
 MI - Detroit,1990,1027974,7
 TX - Dallas,1990,1006877,8
 AZ - Phoenix,1990,983403,9
 TX - San Antonio,1990,935933,10
 CA - San Jose,1990,782248,11
 MD - Baltimore,1990,736014,12
 IN - Indianapolis,1990,731327,13
 CA - San Francisco,1990,723959,14
 FL - Jacksonville,1990,635230,15
 OH - Columbus,1990,632910,16
 WI - Milwaukee,1990,628088,17
 TN - Memphis,1990,610337,18
 DC - Washington,1990,606900,19
 MA - Boston,1990,574283,20
 WA - Seattle,1990,516259,21
 TX - El Paso,1990,515342,22
 OH - Cleveland,1990,505616,23
 LA - New Orleans,1990,496938,24
 TN - Nashville-Davidson,1990,488374,25
 CO - Denver,1990,467610,26
 TX - Austin,1990,465622,27
 TX - Fort Worth,1990,447619,28
 OK - Oklahoma City,1990,444719,29
 OR - Portland,1990,437319,30
 MO - Kansas City,1990,435146,31
 CA - Long Beach,1990,429433,32
 AZ - Tucson,1990,405390,33
 MO - St. Louis,1990,396685,34
 NC - Charlotte,1990,395934,35
 GA - Atlanta,1990,394017,36
 VA - Virginia Beach,1990,393069,37
 NM - Albuquerque,1990,384736,38
 CA - Oakland,1990,372242,39
 PA - Pittsburgh,1990,369879,40
 CA - Sacramento,1990,369365,41
 MN - Minneapolis,1990,368383,42
 OK - Tulsa,1990,367302,43
 HI - Honolulu,1990,365272,44
 OH - Cincinnati,1990,364040,45
 FL - Miami,1990,358548,46
 CA - Fresno,1990,354202,47
 NE - Omaha,1990,335795,48
 OH - Toledo,1990,332943,49
 NY - Buffalo,1990,328123,50
 KS - Wichita,1990,304011,51
 CA - Santa Ana,1990,293742,52
 AZ - Mesa,1990,288091,53
 CO - Colorado Springs,1990,281140,54
 FL - Tampa,1990,280015,55
 NJ - Newark,1990,275221,56
 MN - Saint Paul,1990,272235,57
 KY - Louisville,1990,269063,58
 CA - Anaheim,1990,266406,59
 AL - Birmingham,1990,265968,60
 TX - Arlington,1990,261721,61
 VA - Norfolk,1990,261229,62
 NV - Las Vegas,1990,258295,63
 TX - Corpus Christi,1990,257453,64
 FL - St. Petersburg,1990,238629,65
 NY - Rochester,1990,231636,66
 NJ - Jersey City,1990,228537,67
 CA - Riverside,1990,226505,68
 AK - Anchorage,1990,226338,69
 KY - Lexington,1990,225366,70
 OH - Akron,1990,223019,71
 CO - Aurora,1990,222103,72
 LA - Baton Rouge,1990,219531,73
 CA - Stockton,1990,210943,74
 NC - Raleigh,1990,207951,75
 VA - Richmond,1990,203056,76
